main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	sediment_fresh_cold	fresh	Structural	medium	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	Temperature	low	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	Water	high	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	pH	medium	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	salinity variability	small	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	temp variability	low	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_cold	fresh	water variability	permanently wet	ENVO:00002007|ENVO:01000306|PATO:0001306	sediment|freshwater environment|reduced temperature
Aquatic	sediment_fresh_contaminated	fresh	Gradients	high	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	Organic	medium	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	Salinity	low	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	Structural	medium	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	Water	high	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	pH	medium	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	salinity variability	small	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	temp variability	low	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_contaminated	fresh	water variability	permanently wet	ENVO:00002007|ENVO:01000306|ENVO:02500039	sediment|freshwater environment|water pollution
Aquatic	sediment_fresh_deep	fresh	Gradients	high	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Nutrients	medium	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Organic	medium	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Pressure	high	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Salinity	low	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Structural	medium	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	Water	high	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	pH	medium	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	salinity variability	small	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	temp variability	none	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deep	fresh	water variability	permanently wet	ENVO:00002007|ENVO:01000306|PATO:0001596	sediment|freshwater environment|increased depth
Aquatic	sediment_fresh_deepsubsurface	fresh	Gradients	low		
Aquatic	sediment_fresh_deepsubsurface	fresh	Nutrients	low		
Aquatic	sediment_fresh_deepsubsurface	fresh	Organic	low		
Aquatic	sediment_fresh_deepsubsurface	fresh	Pressure	high		
Aquatic	sediment_fresh_deepsubsurface	fresh	Salinity	low		
Aquatic	sediment_fresh_deepsubsurface	fresh	Structural	medium		
Aquatic	sediment_fresh_deepsubsurface	fresh	Temperature	high		
Aquatic	sediment_fresh_deepsubsurface	fresh	Water	high		
Aquatic	sediment_fresh_deepsubsurface	fresh	pH	medium		
Aquatic	sediment_fresh_deepsubsurface	fresh	salinity variability	small		
Aquatic	sediment_fresh_deepsubsurface	fresh	temp variability	low		
Aquatic	sediment_fresh_deepsubsurface	fresh	water variability	permanently wet		
Aquatic	sediment_hypersaline	NA	Gradients	high	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	Nutrients	low	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	Organic	low	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	Salinity	high	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	Structural	medium	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	Water	low	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	salinity variability	small	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	temp variability	low	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_hypersaline	NA	water variability	permanently wet	ENVO:00002007|ENVO:00002012	sediment|hypersaline water
Aquatic	sediment_marine	marine	Salinity	high	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	Structural	medium	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	Water	high	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	pH	high	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	salinity variability	small	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	temp variability	low	ENVO:03000033	marine sediment
Aquatic	sediment_marine	marine	water variability	permanently wet	ENVO:03000033	marine sediment
Aquatic	sediment_marine_cold	marine	Salinity	high	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	Structural	medium	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
Aquatic	sediment_marine_cold	marine	Temperature	low	ENVO:03000033|PATO:0001306	marine sediment|reduced temperature
