prego_id	rank	taxon_id	taxon_label	prego_score	direct_flag	channels	corroborated_by
BTO:0000089	7	NCBITaxon:1122925	Paenibacillus sanguinis 2301083 = DSM 16941	4	TRUE	annotated_genomes_isolates	
BTO:0000089	8	NCBITaxon:1122931		4	TRUE	annotated_genomes_isolates	
BTO:0000089	9	NCBITaxon:1122988	Hoylesella nanceiensis DSM 19126 = JCM 15639	4	TRUE	annotated_genomes_isolates	
BTO:0000089	10	NCBITaxon:1123034	Psychrobacter phenylpyruvicus DSM 7000 = NBRC 102152	4	TRUE	annotated_genomes_isolates	
BTO:0000089	11	NCBITaxon:1267000	Metamycoplasma hominis ATCC 27545	4	TRUE	annotated_genomes_isolates	
BTO:0000089	12	NCBITaxon:1304	Streptococcus salivarius	4	TRUE	annotated_genomes_isolates	
BTO:0000089	13	NCBITaxon:1336208	Roseomonas gilardii subsp. rosea ATCC BAA-691	4	TRUE	annotated_genomes_isolates	
BTO:0000089	14	NCBITaxon:1408438	Hutsoniella sourekii ATCC 700629	4	TRUE	annotated_genomes_isolates	
BTO:0000089	15	NCBITaxon:1408440	Gemella sanguinis ATCC 700632	4	TRUE	annotated_genomes_isolates	
BTO:0000089	16	NCBITaxon:1408452	Mycobacterium genavense ATCC 51234	4	TRUE	annotated_genomes_isolates	
BTO:0000089	17	NCBITaxon:1448136	Roseomonas mucosa ATCC BAA-692	4	TRUE	annotated_genomes_isolates	
BTO:0000089	18	NCBITaxon:147802	Lactobacillus iners	4	TRUE	environmental_samples	
BTO:0000089	19	NCBITaxon:154288	Turicibacter sanguinis	4	TRUE	annotated_genomes_isolates	
BTO:0000089	20	NCBITaxon:1578	Lactobacillus	4	TRUE	environmental_samples	
BTO:0000089	21	NCBITaxon:1601	Ligilactobacillus agilis	4	TRUE	environmental_samples	
BTO:0000089	22	NCBITaxon:168808	Sneathia	4	TRUE	environmental_samples	
BTO:0000089	23	NCBITaxon:1707330		4	TRUE	annotated_genomes_isolates	
BTO:0000089	24	NCBITaxon:171549	Bacteroidales	4	TRUE	environmental_samples	
BTO:0000089	25	NCBITaxon:186802	Eubacteriales	4	TRUE	environmental_samples	
BTO:0000090	1	NCBITaxon:1290553	Halocynthiibacter namhaensis	3	TRUE	annotated_genomes_isolates	
