study_gold_id	path_count	paths
Gs0045634	3	Environmental > Terrestrial > Soil > Agricultural land|Host-associated > Plants > Roots > Rhizosphere|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0045710	1	Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor
Gs0045711	1	Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor
Gs0045762	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0045765	2	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery|Host-associated > Arthropoda: Insects > Whole body
Gs0045767	1	Engineered > Biotransformation > Mixed alcohol bioreactor
Gs0045770	1	Environmental > Terrestrial > Soil > Permafrost
Gs0045774	1	Host-associated > Arthropoda: Insects > Whole body
Gs0045843	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water > Sediment
Gs0045857	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0045858	2	Environmental > Aquatic > Freshwater > Lotic|Environmental > Aquatic > Freshwater > River
Gs0045862	2	Environmental > Aquatic > Freshwater > Sinkhole|Environmental > Aquatic > Freshwater > Sinkhole > Microbial mats
Gs0045864	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0045904	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0046037	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0046043	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0046044	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut
Gs0046108	1	Environmental > Aquatic > Marine > Oceanic
Gs0046152	1	Environmental > Aquatic > Freshwater > Drinking water
Gs0046156	1	Environmental > Aquatic > Freshwater > Storm water > Drainage pipe biofilm
Gs0046158	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water
Gs0046169	2	Environmental > Aquatic > Non-marine Saline and Alkaline|Environmental > Aquatic > Thermal springs > Warm (34-42C) > Sediment
Gs0046171	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0046183	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0046201	1	Engineered > Bioreactor > Anaerobic
Gs0046208	1	Environmental > Terrestrial > Oil reservoir
Gs0046212	2	Environmental > Aquatic > Marine > Intertidal zone > Sediment|Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0046224	1	Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0046228	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0046239	1	Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Gs0046245	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0046451	1	Engineered > Bioreactor > Anaerobic
Gs0046452	1	Host-associated > Mollusca > Shell
Gs0046453	2	Host-associated > Mammals: Human > Digestive system > Large intestine > Ascending colon|Host-associated > Mammals: Human > Digestive system > Large intestine > Descending colon
Gs0046478	1	Environmental > Terrestrial > Soil > Contaminated
Gs0046702	1	Environmental > Aquatic > Marine > Oceanic
Gs0046710	1	Environmental > Terrestrial > Soil > Grasslands
Gs0046711	2	Environmental > Terrestrial > Soil > Grasslands|Host-associated > Plants > Roots > Rhizosphere
Gs0046726	1	Host-associated > Plants > Roots > Rhizosphere
Gs0046755	1	Engineered > Food production > Fermented vegetables
Gs0046779	2	Environmental > Aquatic > Freshwater|Environmental > Aquatic > Freshwater > Lentic > Sediment
Gs0046783	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats
Gs0046784	4	Environmental > Aquatic > Marine > Hydrothermal vents|Environmental > Aquatic > Marine > Oceanic > Microbial mats|Host-associated > Annelida > Integument|Host-associated > Mollusca > Shell
Gs0046785	8	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Inlet|Environmental > Aquatic > Marine > Intertidal zone|Environmental > Aquatic > Marine > Oceanic|Environmental > Aquatic > Marine > Oceanic > Aphotic zone|Environmental > Aquatic > Marine > Oceanic > Photic zone|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0046786	2	Host-associated > Arthropoda: Insects > Digestive system > Hindgut|Host-associated > Arthropoda: Insects > Digestive system > Midgut
Gs0046788	1	Engineered > Modeled > Simulated communities (microbial mixture)
Gs0046796	1	Environmental > Aquatic > Marine > Oceanic
Gs0046801	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0046804	1	Engineered > Modeled > Simulated communities (DNA mixture)
Gs0046820	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Attached/Keratinized gingiva
Gs0046822	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Saliva
Gs0046823	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Subgingival plaque
Gs0046824	1	Host-associated > Mammals: Human > Digestive system > Pharynx/Throat > Oropharynx
Gs0046825	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Tongue dorsum
Gs0046826	1	Host-associated > Mammals: Human > Lymphatic system > Tonsils > Palatine/Faucial
Gs0046851	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0046884	1	Environmental > Aquatic > Freshwater
Gs0046933	1	Environmental > Terrestrial > Soil
Gs0046945	1	Environmental > Aquatic > Marine > Cold seeps
Gs0046962	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0046965	1	Environmental > Aquatic > Freshwater > Microbialites
Gs0047064	1	Environmental > Terrestrial > Soil
Gs0047118	1	Host-associated > Mammals: Human > Respiratory system > Lung
Gs0047139	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0047140	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0047141	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0047142	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0047147	1	Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Gs0047150	1	Engineered > Lab enrichment > Defined media > Marine media
Gs0047180	2	Engineered > Lab enrichment > Defined media > Aerobic media|Engineered > Solid waste > Zoo waste > Composting
Gs0047181	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0047387	5	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Intertidal zone|Environmental > Aquatic > Marine > Intertidal zone > Estuary|Environmental > Aquatic > Marine > Intertidal zone > Sediment|Environmental > Aquatic > Sediment
Gs0047440	1	Environmental > Aquatic > Freshwater > Lake
Gs0047444	14	Engineered > Bioremediation > Persistent organic pollutants (POP) > Polycyclic aromatic hydrocarbons|Engineered > Biotransformation > Microbial solubilization of coal|Engineered > Built environment > Tailings pond > Petrochemical|Engineered > Built environment > Tailings pond > Petrochemical > Wastewater|Engineered > Built environment > Tailings pond > Wastewater|Engineered > Lab enrichment > Defined media > Anaerobic media|Engineered > Wastewater > Industrial wastewater > Petrochemical|Environmental > Aquatic > Thermal springs > Tepid (25-34C) > Sediment|Environmental > Terrestrial > Asphalt lakes > Tar|Environmental > Terrestrial > Oil reservoir > Sediment|Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Peat > Bog|Environmental > Terrestrial > Soil > Peat > Fen|Environmental > Terrestrial > Soil > Sand > Oil-contaminated
Gs0047445	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0047452	1	Environmental > Terrestrial > Soil > Permafrost
Gs0047472	1	Engineered > Modeled > Simulated communities (sequence read mixture)
Gs0047475	2	Environmental > Aquatic > Marine > Oceanic|Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0047491	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0047492	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0047495	1	Environmental > Aquatic > Freshwater > Lake
Gs0047498	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0047511	1	Engineered > Solid waste > Grass > Composting
Gs0047522	1	Environmental > Terrestrial > Rock-dwelling (subaerial biofilms)
Gs0047523	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0047590	3	Host-associated > Algae > Red algae|Host-associated > Algae > Red algae > Ectosymbionts|Host-associated > Plants
Gs0048557	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut
Gs0049026	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0050523	2	Environmental > Aquatic > Marine > Intertidal zone > Oil-contaminated|Environmental > Aquatic > Marine > Oceanic > Oil-contaminated
Gs0050527	2	Environmental > Terrestrial > Soil > Sand|Environmental > Terrestrial > Soil > Silt
Gs0050620	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0050867	4	Environmental > Aquatic > Marine > Oceanic|Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline|Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds
Gs0050868	1	Environmental > Aquatic > Freshwater > Lentic
Gs0050891	1	Host-associated > Arthropoda: Insects > Whole body
Gs0050893	1	Engineered > Solid waste > Grass > Composting > Bioreactor
Gs0050918	2	Environmental > Aquatic > Freshwater > Wetlands|Environmental > Aquatic > Marine
Gs0050936	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0050939	3	Host-associated > Arthropoda: Insects > Digestive system > Gut|Host-associated > Arthropoda: Insects > Digestive system > Hindgut > Fecal|Host-associated > Arthropoda: Insects > Larva > Gut
Gs0050991	1	Environmental > Terrestrial > Soil > Contaminated
Gs0051017	1	Environmental > Aquatic > Freshwater > Groundwater
Gs0051041	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0051042	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0051051	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Saliva
Gs0051052	2	Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Agricultural land
Gs0051259	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0051278	1	Engineered > Wastewater > Industrial wastewater
Gs0051352	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0051353	1	Host-associated > Arthropoda: Insects > Whole body
Gs0051396	1	Environmental > Terrestrial > Soil > Loam > Grasslands
Gs0051400	1	Environmental > Aquatic > Freshwater > Lentic > Epilimnion
Gs0053019	1	Environmental > Terrestrial > Soil > Clay > Contaminated
Gs0053025	1	Engineered > Lab enrichment
Gs0053029	1	Host-associated > Porifera
Gs0053050	1	Environmental > Aquatic > Marine > Oceanic
Gs0053051	1	Environmental > Aquatic > Marine > Oceanic
Gs0053052	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0053053	1	Engineered > Solid waste > Feedstock > Composting
Gs0053054	7	Environmental > Aquatic > Deep subsurface > Groundwater|Environmental > Aquatic > Deep subsurface > Groundwater > Contaminated|Environmental > Aquatic > Deep subsurface > Groundwater > Drilled well/Borehole|Environmental > Aquatic > Deep subsurface > Groundwater > Well sediment|Environmental > Terrestrial > Deep subsurface > Rock core/Sediment|Environmental > Terrestrial > Geologic > Sediment|Environmental > Terrestrial > Soil
Gs0053055	3	Environmental > Terrestrial > Soil > Agricultural land|Host-associated > Plants > Phyllosphere > Phylloplane/Leaf|Host-associated > Plants > Roots > Rhizosphere
