study_gold_id	path_count	paths
Gs0110179	1	Host-associated > Plants > Roots > Rhizosphere
Gs0110180	1	Host-associated > Mollusca
Gs0110181	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0110182	1	Environmental > Aquatic
Gs0110183	1	Environmental > Aquatic > Marine > Oceanic
Gs0110184	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0110185	2	Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Mine drainage
Gs0110187	1	Host-associated > Fish > Digestive system > Intestine
Gs0110188	1	Environmental > Aquatic > Marine > Intertidal zone > Mangrove sediment
Gs0110189	1	Host-associated > Tunicates > Ascidians
Gs0110190	3	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Hypoxic zone|Environmental > Aquatic > Marine > Oceanic
Gs0110196	1	Engineered > Lab culture > Culture media > Bacteria > Contaminated
Gs0110198	3	Host-associated > Microbial > Bacteria|Host-associated > Plants > Phyllosphere|Host-associated > Plants > Phyllosphere > Phylloplane/Leaf
Gs0110201	1	Engineered > Modeled > Simulated communities (microbial mixture)
Gs0111348	2	Engineered > Bioreactor > Anaerobic > Biogas|Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0111350	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0111352	1	Environmental > Terrestrial > Deep subsurface
Gs0111355	4	Environmental > Aquatic > Marine > Hydrothermal vents|Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow|Environmental > Aquatic > Marine > Hydrothermal vents > Sediment|Environmental > Aquatic > Marine > Oceanic > Aphotic zone
Gs0111356	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0111357	1	Environmental > Aquatic > Freshwater > Lake > Sediment
Gs0111358	1	Environmental > Aquatic > Freshwater > Lake
Gs0111359	3	Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic)|Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic) > Activated sludge|Environmental > Aquatic > Freshwater > River > Sediment
Gs0111360	1	Engineered > Lab enrichment
Gs0111361	1	Host-associated > Porifera
Gs0111363	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0111365	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Saliva
Gs0111366	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Neutral
Gs0111368	1	Environmental > Aquatic > Marine > Intertidal zone > Mangrove sediment
Gs0111369	1	Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Gs0111370	1	Host-associated > Invertebrates > Bryozoans > Gymnolaemates
Gs0111374	1	Environmental > Aquatic > Marine > Intertidal zone > Beach/Shore
Gs0111375	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0111376	3	Environmental > Aquatic > Marine > Wetlands|Environmental > Terrestrial > Soil > Paddy field/soil|Environmental > Terrestrial > Soil > Wetlands
Gs0111377	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0111380	1	Host-associated > Annelida > Intracellular endosymbionts > Trophosome
Gs0111381	1	Environmental > Aquatic > Freshwater > Pond
Gs0111382	8	Engineered > Built environment > Pipeline|Environmental > Aquatic|Environmental > Aquatic > Marine > Cold seeps > Sediment|Environmental > Aquatic > Marine > Deep subsurface > Hydrocarbon|Environmental > Aquatic > Marine > Oceanic > Sediment|Environmental > Terrestrial|Environmental > Terrestrial > Oil reservoir|Environmental > Terrestrial > Soil > Ranch > Agricultural land
Gs0111384	1	Environmental > Aquatic > Deep subsurface > Groundwater
Gs0111385	1	Host-associated > Arthropoda: Insects > Whole body
Gs0111395	1	Environmental > Aquatic > Thermal springs > Near-boiling (>90C) > Alkaline
Gs0111396	1	Environmental > Aquatic > Marine > Cold seeps
Gs0111397	1	Engineered > Food production > Dairy products > Fermented dairy products > Cheese
Gs0111398	1	Engineered > Wastewater > Industrial wastewater
Gs0111399	1	Environmental > Aquatic > Freshwater > Lentic
Gs0111400	1	Engineered > Bioreactor > Anaerobic > Effluent
Gs0111401	1	Environmental > Aquatic > Freshwater > River > Sediment
Gs0111402	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0111403	2	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lentic
Gs0111405	1	Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic) > Activated sludge
Gs0111406	1	Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Gs0111407	1	Environmental > Aquatic > Freshwater > Creek > Sediment
Gs0111408	1	Engineered > Bioreactor > Microbial fuel cells/MFC > Anode > Biofilm
Gs0111409	1	Engineered > Food production > Meat products
Gs0111410	1	Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0111411	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0111413	1	Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0111415	1	Host-associated > Microbial > Bacteria
Gs0111417	1	Host-associated > Mammals > Digestive system > Large intestine
Gs0111418	1	Environmental > Aquatic > Freshwater > Lotic
Gs0111419	1	Environmental > Aquatic > Marine > Oceanic > Aphotic zone
Gs0111421	1	Environmental > Aquatic > Thermal springs
Gs0111422	2	Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Activated sludge|Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor
Gs0111423	1	Environmental > Aquatic > Marine > Oceanic
Gs0111424	2	Host-associated > Plants > Roots|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0111425	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water > Sediment
Gs0111426	1	Engineered > Food production > Dairy products > Fermented dairy products
Gs0111427	1	Host-associated > Arthropoda: Crustaceans > Respiratory system > Gill/Bronchial chamber
Gs0111430	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0111431	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0111433	1	Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0111434	3	Host-associated > Mammals > Respiratory system > Lung|Host-associated > Mammals > Respiratory system > Pharynx/Throat > Oropharynx|Host-associated > Mammals > Urinary system > Urine
Gs0111435	1	Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0111436	1	Environmental > Aquatic > Marine > Oceanic
Gs0111438	1	Environmental > Aquatic > Marine > Intertidal zone > Salt marsh
Gs0111439	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0111440	1	Environmental > Aquatic > Marine > Oceanic > Oil-contaminated
Gs0111441	1	Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0111442	1	Environmental > Aquatic > Freshwater > Groundwater
Gs0111443	1	Host-associated > Porifera
Gs0111445	1	Environmental > Aquatic > Freshwater > Lentic > Sediment
Gs0111446	1	Host-associated > Tunicates > Ascidians
Gs0111447	2	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0111448	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0111449	1	Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Gs0111450	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0111451	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0111452	1	Environmental > Terrestrial > Soil > Sand
Gs0111454	1	Host-associated > Mammals: Human > Circulatory system > Blood
Gs0111455	1	Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0111456	2	Engineered > Bioreactor > DHS reactor > Sludge|Engineered > Bioreactor > DHS reactor > Wastewater
Gs0111457	1	Environmental > Aquatic > Marine > Oceanic
Gs0111458	1	Environmental > Aquatic > Freshwater > Wetlands
Gs0111459	1	Host-associated > Porifera
Gs0111460	1	Environmental > Aquatic > Freshwater > Groundwater > Coalbed water
Gs0111461	1	Environmental > Terrestrial > Soil > Loam
Gs0111462	1	Host-associated > Arthropoda: Insects > Whole body
Gs0111463	1	Host-associated > Mammals > Respiratory system > Nasal cavity
Gs0111464	1	Environmental > Aquatic > Marine > Hydrothermal vents > Sediment
Gs0111465	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0111466	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0111467	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0111469	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Oceanic
Gs0111471	1	Environmental > Aquatic > Marine > Neritic zone/Coastal water
Gs0111472	1	Environmental > Aquatic > Freshwater > Lotic
Gs0111473	1	Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0111474	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0111475	1	Engineered > Food production
Gs0111476	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0111477	2	Environmental > Terrestrial > Soil > Clay > Agricultural land|Environmental > Terrestrial > Soil > Clay > Grasslands
Gs0111479	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0111480	1	Environmental > Aquatic > Freshwater > Lentic
Gs0111481	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0111482	1	Environmental > Terrestrial > Soil > Permafrost
Gs0111483	1	Host-associated > Arthropoda: Insects > Larva > Gut
Gs0111484	1	Environmental > Aquatic > Thermal springs
Gs0111485	25	Engineered > Built environment > Water treatment plant|Engineered > WWTP > Aerobic digester > Activated sludge|Environmental > Aquatic > Artesian spring > Acidic > Sediment|Environmental > Aquatic > Deep subsurface > Groundwater|Environmental > Aquatic > Deep subsurface > Groundwater > Drilled well/Borehole|Environmental > Aquatic > Deep subsurface > Groundwater > Mine water|Environmental > Aquatic > Deep subsurface > Subterranean lake|Environmental > Aquatic > Freshwater|Environmental > Aquatic > Freshwater > Creek|Environmental > Aquatic > Freshwater > Creek > Sediment|Environmental > Aquatic > Freshwater > Drinking water > Unchlorinated|Environmental > Aquatic > Freshwater > Groundwater|Environmental > Aquatic > Freshwater > Ice > Glacier|Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lake > Sediment|Environmental > Aquatic > Freshwater > Sediment|Environmental > Aquatic > Marine > Hydrothermal vents > Sediment|Environmental > Aquatic > Marine > Mud volcano|Environmental > Aquatic > Thermal springs|Environmental > Aquatic > Thermal springs > Hot (42-90C)|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Acidic|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment|Environmental > Aquatic > Thermal springs > Tepid (25-34C)|Environmental > Aquatic > Thermal springs > Warm (34-42C)
Gs0111487	1	Host-associated > Mammals: Human > Respiratory system > Pharynx/Throat > Nasopharynx
Gs0111488	1	Environmental > Air > Outdoor Air
Gs0111490	1	Environmental > Aquatic > Freshwater > Lake
Gs0111491	2	Environmental > Terrestrial > Soil > Agricultural land|Host-associated > Plants > Roots
Gs0111492	1	Host-associated > Porifera
Gs0111493	1	Host-associated > Birds > Digestive system > Large intestine > Ceca
Gs0111495	1	Host-associated > Porifera
Gs0111501	1	Environmental > Aquatic > Freshwater > Groundwater > Contaminated
Gs0111502	1	Environmental > Aquatic > Freshwater > Groundwater
Gs0111503	1	Environmental > Terrestrial > Rock-dwelling (subaerial biofilms)
Gs0111506	1	Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Gs0111524	1	Environmental > Aquatic > Freshwater > Groundwater > Acid Mine Drainage
Gs0111531	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0111536	1	Environmental > Aquatic > Freshwater > River > Sediment
Gs0111537	1	Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow
Gs0111539	1	Host-associated > Plants > Roots
Gs0111543	1	Host-associated > Mammals > Remains > Fossilized remains > Coprolite
Gs0112104	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0112328	1	Environmental > Terrestrial > Soil > Clay > Contaminated
Gs0112329	1	Host-associated > Arthropoda: Insects > Whole body
Gs0112330	2	Environmental > Terrestrial > Oil reservoir > Oil|Environmental > Terrestrial > Oil reservoir > Produced water
Gs0112331	1	Environmental > Aquatic > Freshwater > Groundwater > Contaminated
Gs0112333	1	Host-associated > Porifera
Gs0112334	1	Environmental > Terrestrial > Soil > Sand > Desert
Gs0112336	1	Engineered > Bioremediation > Hydrocarbon
Gs0112339	2	Environmental > Aquatic > Deep subsurface > Subglacial lake|Environmental > Aquatic > Deep subsurface > Subglacial lake > Sediment
Gs0112340	1	Environmental > Terrestrial > Soil > Wetlands > Permafrost
Gs0112342	1	Environmental > Terrestrial > Deep subsurface
Gs0113397	1	Host-associated > Invertebrates > Cnidaria
Gs0113736	1	Environmental > Aquatic > Freshwater > Wetlands > Sediment
Gs0113739	2	Engineered > Bioreactor|Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0113752	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Microbial mats
Gs0113757	1	Host-associated > Mollusca
Gs0113782	1	Environmental > Aquatic > Freshwater > Sediment
Gs0113788	1	Environmental > Aquatic > Marine > Oceanic > Oil-contaminated sediment
Gs0113807	2	Environmental > Aquatic > Marine > Hydrothermal vents|Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Gs0113833	1	Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Gs0113835	1	Environmental > Aquatic > Freshwater > Lotic
Gs0113836	1	Engineered > Bioreactor > Anaerobic > Biogas
Gs0113839	1	Host-associated > Mollusca > Respiratory system > Gills > Intracellular
Gs0113859	2	Environmental > Terrestrial > Soil > Biocrust|Environmental > Terrestrial > Soil > Sand > Desert
Gs0113865	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0113867	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0113883	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Gs0113900	1	Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow
Gs0113904	1	Environmental > Terrestrial > Soil > Contaminated
Gs0113905	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Gs0113935	1	Environmental > Aquatic > Marine > Coastal
Gs0113937	1	Environmental > Aquatic > Marine > Coastal
Gs0113941	1	Environmental > Aquatic > Marine > Oceanic
Gs0113945	1	Environmental > Aquatic > Marine > Hydrothermal vents > Black smokers
Gs0113951	1	Environmental > Aquatic > Freshwater > Lentic > Sediment
Gs0113961	1	Engineered > Wastewater > Industrial wastewater
Gs0113963	2	Host-associated > Mammals: Human > Digestive system > Oral cavity|Host-associated > Mammals: Human > Digestive system > Oral cavity > Subgingival plaque
Gs0113966	3	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lake > Algal bloom|Environmental > Aquatic > Freshwater > Lentic
Gs0113988	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0113990	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats
Gs0113996	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Sediment
Gs0113999	2	Environmental > Aquatic > Sediment|Host-associated > Mollusca > Shell
Gs0114002	1	Environmental > Aquatic > Freshwater > Groundwater > Contaminated
Gs0114003	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0114021	1	Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0114039	1	Engineered > Solid waste > Agricultural waste > Composting > Sugarcane filter cake
Gs0114042	1	Engineered > Wastewater > Activated Sludge
Gs0114049	1	Environmental > Terrestrial > Soil
Gs0114263	1	Environmental > Aquatic > Marine > Coastal
Gs0114265	1	Host-associated > Arthropoda: Crustaceans > Whole body
Gs0114277	1	Engineered > Wastewater > Nutrient removal > Nitrogen removal
Gs0114278	1	Engineered > Wastewater > Anaerobic digestor
Gs0114279	1	Host-associated > Mammals: Human > Digestive system > Oral cavity > Subgingival plaque
Gs0114287	1	Environmental > Aquatic > Marine
Gs0114289	1	Environmental > Terrestrial
Gs0114290	1	Environmental > Aquatic > Freshwater > Lake > Sediment
Gs0114291	2	Host-associated > Fungi|Host-associated > Plants > Phyllosphere > Phylloplane/Leaf
Gs0114292	3	Environmental > Aquatic > Marine > Inlet|Environmental > Aquatic > Marine > Oceanic|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0114293	2	Environmental > Terrestrial > Soil > Tropical forest|Environmental > Terrestrial > Soil > Tropical forest > Bulk soil
Gs0114294	1	Host-associated > Fish > Digestive system > Intestine
Gs0114295	1	Environmental > Aquatic > Freshwater > Pond > Sediment
Gs0114296	1	Environmental > Aquatic > Freshwater > Wetlands > Sediment
Gs0114297	3	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf|Host-associated > Plants > Phyllosphere > Phylloplane/Leaf > Endophytes|Host-associated > Plants > Roots > Rhizosphere
Gs0114298	2	Environmental > Terrestrial > Soil > Tundra > Organic layer|Environmental > Terrestrial > Soil > Tundra > Permafrost
Gs0114299	1	Environmental > Aquatic > Freshwater > Groundwater > Coalbed water
Gs0114342	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0114343	1	Environmental > Aquatic > Marine > Coastal
Gs0114362	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0114365	2	Engineered > Lab synthesis|Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0114366	2	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline|Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Sediment
Gs0114367	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds
Gs0114369	1	Environmental > Terrestrial > Soil > Permafrost
Gs0114374	1	Host-associated > Plants > Phyllosphere
Gs0114390	1	Engineered > Bioreactor
Gs0114392	1	Engineered > Lab enrichment
Gs0114393	1	Environmental > Terrestrial > Soil
Gs0114398	3	Host-associated > Algae|Host-associated > Algae > Red algae|Host-associated > Algae > Red algae > Ectosymbionts
Gs0114420	2	Environmental > Aquatic > Marine > Oceanic > Aphotic zone|Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0114424	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0114429	1	Host-associated > Algae > Green algae
Gs0114431	1	Environmental > Terrestrial > Soil > Grasslands
Gs0114432	2	Environmental > Terrestrial > Soil|Environmental > Terrestrial > Soil > Agricultural land
Gs0114433	2	Environmental > Aquatic > Marine > Coastal|Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0114434	3	Environmental > Terrestrial > Soil > Vadose zone|Environmental > Terrestrial > Soil > Vadose zone > Saprolite|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0114435	2	Environmental > Aquatic > Marine > Harbor > Sediment|Environmental > Aquatic > Marine > Intertidal zone > Sediment
Gs0114436	1	Environmental > Terrestrial > Soil > Agricultural land
Gs0114441	1	Environmental > Aquatic > Marine > Cold seeps > Sediment
Gs0114443	1	Environmental > Aquatic > Freshwater > Lake
Gs0114445	1	Host-associated > Porifera
Gs0114451	3	Engineered > Wastewater|Environmental > Aquatic > Marine > Neritic zone/Coastal water|Environmental > Aquatic > Marine > Oceanic
Gs0114453	1	Host-associated > Algae > Red algae
Gs0114457	1	Engineered > Wastewater > Activated Sludge
Gs0114459	1	Environmental > Aquatic > Freshwater > Groundwater > Contaminated
Gs0114467	1	Engineered > Solid waste > Agricultural waste > Composting > Sugarcane filter cake
Gs0114469	2	Environmental > Aquatic > Marine > Coastal|Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0114486	4	Engineered > Lab culture > Culture media|Engineered > Lab enrichment|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Sediment|Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0114497	1	Environmental > Aquatic > Freshwater > Pond > Sediment
Gs0114511	1	Engineered > WWTP > Effluent > Algae cultivation tank
Gs0114512	1	Environmental > Aquatic > Marine > Coastal > Sediment
Gs0114513	1	Environmental > Terrestrial > Soil
Gs0114514	5	Environmental > Aquatic > Marine > Intertidal zone > Salt pond sediment|Environmental > Aquatic > Marine > Wetlands|Environmental > Aquatic > Marine > Wetlands > Sediment|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline|Environmental > Terrestrial > Soil > Wetlands
Gs0114515	1	Environmental > Terrestrial > Soil > Temperate forest
Gs0114516	1	Environmental > Aquatic > Marine > Intertidal zone > Estuary
Gs0114528	1	Host-associated > Porifera
Gs0114530	3	Engineered > Lab enrichment > Defined media|Engineered > Solid waste > Zoo waste > Composting|Environmental > Terrestrial > Soil
Gs0114534	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0114545	1	Host-associated > Protists
Gs0114546	1	Engineered > Food production
Gs0114547	1	Engineered > Modeled > Simulated communities (DNA mixture)
Gs0114554	1	Environmental > Terrestrial > Volcanic
Gs0114557	2	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0114559	2	Engineered > Bioreactor > Anaerobic > Biogas|Engineered > Bioreactor > Continuous culture > Marine sediment inoculum
Gs0114560	1	Environmental > Terrestrial > Soil > Grasslands
Gs0114573	1	Environmental > Aquatic > Marine > Volcanic
Gs0114576	2	Environmental > Aquatic > Marine > Aquifer > Formation fluid|Environmental > Aquatic > Marine > Oceanic > Abyssal plane
Gs0114582	1	Environmental > Terrestrial > Soil
Gs0114584	1	Environmental > Aquatic > Freshwater > Sinkhole > Microbial mats
Gs0114588	10	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lake > Lake biofilm|Environmental > Aquatic > Freshwater > Pond|Environmental > Aquatic > Freshwater > Puddle|Environmental > Aquatic > Freshwater > River|Environmental > Aquatic > Freshwater > Wetlands > Bog|Environmental > Aquatic > Freshwater > Wetlands > Fen|Environmental > Aquatic > Freshwater > Wetlands > Soil|Environmental > Aquatic > Freshwater > Wetlands > Swamp|Environmental > Terrestrial > Soil
Gs0114594	2	Host-associated > Fungi > Mycelium|Host-associated > Plants > Roots
Gs0114596	1	Host-associated > Plants > Phyllosphere > Caulosphere
Gs0114606	1	Engineered > Modeled > Simulated communities (microbial mixture)
Gs0114608	1	Host-associated > Birds > Digestive system > Large intestine > Ceca
Gs0114610	1	Environmental > Terrestrial > Soil > Permafrost
Gs0114617	1	Environmental > Aquatic > Freshwater > Sediment
Gs0114619	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Alkaline
Gs0114622	5	Environmental > Aquatic > Thermal springs > Hot (42-90C)|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Acidic|Environmental > Aquatic > Thermal springs > Near-boiling (>90C) > Alkaline|Environmental > Aquatic > Thermal springs > Tepid (25-34C)|Environmental > Aquatic > Thermal springs > Warm (34-42C)
Gs0114633	1	Host-associated > Mollusca > Respiratory system > Gills
Gs0114640	1	Environmental > Aquatic > Marine
Gs0114650	1	Environmental > Aquatic > Marine
Gs0114663	2	Engineered > Artificial ecosystem > Sand microcosm|Environmental > Aquatic > Freshwater > River > Sediment
Gs0114673	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0114674	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0114675	6	Engineered > Industrial production > Chemical products > Input fracking water|Environmental > Aquatic > Deep subsurface > Shale gas/oil reservoir > Produced water/Flow back|Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Water tank|Environmental > Terrestrial > Soil > Wetlands|Host-associated > Mammals > Digestive system > Stomach > Rumen fluid
Gs0114676	2	Environmental > Terrestrial > Soil > Garden|Host-associated > Plants > Roots > Nodule
Gs0114680	1	Engineered > Sewage treatment plant > Wastewater > Activated sludge
Gs0114682	1	Environmental > Terrestrial > Soil > Loam > Forest soil
Gs0114689	1	Environmental > Aquatic > Marine > Oceanic
Gs0114691	1	Engineered > Bioreactor > Anaerobic
Gs0114692	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0114700	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0114725	2	Environmental > Aquatic > Marine > Hydrothermal vents > Sediment|Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0114726	1	Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0114729	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0114734	1	Environmental > Aquatic > Freshwater > Groundwater
Gs0114735	1	Environmental > Aquatic > Freshwater > Subglacial lake
Gs0114738	1	Environmental > Aquatic > Freshwater > Lotic
Gs0114764	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0114765	1	Engineered > Lab enrichment > Defined media > Anaerobic media
Gs0114768	1	Environmental > Aquatic > Freshwater > Drinking water
Gs0114771	2	Engineered|Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0114788	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0114789	1	Engineered > Food production
Gs0114793	1	Environmental > Terrestrial > Deep subsurface > Aquifer
Gs0114795	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Oceanic
Gs0114796	1	Environmental > Terrestrial > Soil
Gs0114805	1	Environmental > Terrestrial > Soil > Contaminated
Gs0114815	1	Environmental > Aquatic > Freshwater > Groundwater > Aquifer
Gs0114816	1	Environmental > Aquatic > Marine
Gs0114818	5	Engineered > Bioreactor > Aerobic > Activated sludge|Environmental > Aquatic > Deep subsurface > Groundwater > Drilled well/Borehole|Environmental > Aquatic > Freshwater > Creek|Environmental > Aquatic > Freshwater > Creek > Sediment|Environmental > Aquatic > Freshwater > River
Gs0114820	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Gs0114821	1	Environmental > Aquatic > Freshwater > Wetlands
Gs0114833	1	Environmental > Terrestrial > Soil
Gs0114852	1	Environmental > Terrestrial > Geologic
Gs0114871	1	Environmental > Aquatic > Marine > Coastal
Gs0114878	1	Environmental > Terrestrial > Deep subsurface
Gs0114880	2	Environmental > Aquatic > Freshwater > Lake|Environmental > Aquatic > Freshwater > Lake > Algal bloom
Gs0114881	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0114887	1	Engineered > Bioreactor > Anaerobic > Digestate
Gs0114891	1	Host-associated > Invertebrates > Ctenophora
Gs0114901	1	Host-associated > Porifera
Gs0114903	1	Environmental > Aquatic > Freshwater > Lake
Gs0114916	2	Environmental > Aquatic > Marine|Environmental > Aquatic > Marine > Coastal
Gs0114926	1	Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow
Gs0116042	2	Environmental > Aquatic > Marine > Hydrothermal vents|Environmental > Aquatic > Marine > Hydrothermal vents > Diffuse flow
Gs0116043	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0116053	1	Host-associated > Mammals: Human > Respiratory system > Lung
Gs0116055	1	Environmental > Aquatic > Marine > Coastal > Sediment
Gs0116195	1	Environmental > Aquatic > Marine > Hydrothermal vents
Gs0116196	6	Engineered > Industrial production > Chemical products > Reagent blank|Environmental > Aquatic > Freshwater > Lake > Microbial mats|Environmental > Aquatic > Freshwater > Lake > Sediment|Environmental > Aquatic > Thermal springs > Hot (42-90C)|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Gs0116197	1	Engineered > Bioreactor > Anaerobic > Digestate
Gs0116204	1	Environmental > Terrestrial > Oil reservoir > Produced water
Gs0116207	1	Environmental > Terrestrial > Rock-dwelling (subaerial biofilms)
Gs0116220	1	Engineered > Bioreactor > Anaerobic > Sludge
Gs0116222	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0116224	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0116231	1	Environmental > Aquatic > Marine
