canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Host-associated > Plants > Whole plant body	Host-associated	Plants	Whole plant body			Whole plant body	3	3	2	0	0	2	gold.ecosystem:8136|gold.ecosystem:8137|gold.ecosystem:8138
Host-associated > Protists > Oomycetes	Host-associated	Protists	Oomycetes			Oomycetes	3	3	2	0	0	2	gold.ecosystem:4470|gold.ecosystem:4471|gold.ecosystem:4472
Host-associated > Reptilia > Digestive system > Oral cavity > Saliva	Host-associated	Reptilia	Digestive system	Oral cavity	Saliva	Saliva	5	1	2	0	0	2	gold.ecosystem:7517
Host-associated > Reptilia > Integumentary system > Skin	Host-associated	Reptilia	Integumentary system	Skin		Skin	4	2	2	0	0	2	gold.ecosystem:6950|gold.ecosystem:6951
Engineered > Artificial ecosystem > Aquaculture > Algae raceway pond	Engineered	Artificial ecosystem	Aquaculture	Algae raceway pond		Algae raceway pond	4	2	1	0	0	1	gold.ecosystem:7993|gold.ecosystem:7994
Engineered > Artificial ecosystem > Aquaculture > Crustaceans tank	Engineered	Artificial ecosystem	Aquaculture	Crustaceans tank		Crustaceans tank	4	2	1	0	0	1	gold.ecosystem:8013|gold.ecosystem:8017
Engineered > Artificial ecosystem > Aquaculture > Fish pond > Sediment	Engineered	Artificial ecosystem	Aquaculture	Fish pond	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:8004
Engineered > Artificial ecosystem > Aquaculture > Marine fish farm	Engineered	Artificial ecosystem	Aquaculture	Marine fish farm		Marine fish farm	4	2	1	0	0	1	gold.ecosystem:8039|gold.ecosystem:8041
Engineered > Artificial ecosystem > Aquaculture > Seawater RAS > Biofilter	Engineered	Artificial ecosystem	Aquaculture	Seawater RAS	Biofilter	Biofilter	5	1	1	0	0	1	gold.ecosystem:8320
Engineered > Artificial ecosystem > Mesocosm > Lake water	Engineered	Artificial ecosystem	Mesocosm	Lake water		Lake water	4	2	1	0	0	1	gold.ecosystem:7858|gold.ecosystem:7859
Engineered > Artificial ecosystem > Mud microcosm	Engineered	Artificial ecosystem	Mud microcosm			Mud microcosm	3	3	1	0	0	1	gold.ecosystem:4843|gold.ecosystem:4844|gold.ecosystem:4845
Engineered > Artificial ecosystem > Plant growth chamber > Hydroponic media	Engineered	Artificial ecosystem	Plant growth chamber	Hydroponic media		Hydroponic media	4	2	1	0	0	1	gold.ecosystem:5551|gold.ecosystem:6284
Engineered > Artificial ecosystem > Vivarium > Freshwater aquarium > Sediment	Engineered	Artificial ecosystem	Vivarium	Freshwater aquarium	Sediment	Sediment	5	1	1	0	0	1	gold.ecosystem:8037
Engineered > Bioreactor > Aerobic > Biofilm	Engineered	Bioreactor	Aerobic	Biofilm		Biofilm	4	2	1	0	0	1	gold.ecosystem:5472|gold.ecosystem:5473
Engineered > Bioreactor > Anaerobic > Effluent	Engineered	Bioreactor	Anaerobic	Effluent		Effluent	4	2	1	0	0	1	gold.ecosystem:8166|gold.ecosystem:8167
Engineered > Bioreactor > Continuous culture	Engineered	Bioreactor	Continuous culture			Continuous culture	3	3	1	0	0	1	gold.ecosystem:3517|gold.ecosystem:3850|gold.ecosystem:4283
Engineered > Bioreactor > Microbial fuel cells/MFC > Anode > Biofilm	Engineered	Bioreactor	Microbial fuel cells/MFC	Anode	Biofilm	Biofilm	5	1	1	0	0	1	gold.ecosystem:7658
Engineered > Bioreactor > Photobioreactor (PBR)	Engineered	Bioreactor	Photobioreactor (PBR)			Photobioreactor (PBR)	3	3	1	0	0	1	gold.ecosystem:5844|gold.ecosystem:8184|gold.ecosystem:8185
Engineered > Bioreactor > Wastewater	Engineered	Bioreactor	Wastewater			Wastewater	3	3	1	0	0	1	gold.ecosystem:5600|gold.ecosystem:5827|gold.ecosystem:5828
Engineered > Bioremediation > Hydrocarbon	Engineered	Bioremediation	Hydrocarbon			Hydrocarbon	3	3	1	0	0	1	gold.ecosystem:3525|gold.ecosystem:3864|gold.ecosystem:4300
Engineered > Bioremediation > Hydrocarbon > Xylene	Engineered	Bioremediation	Hydrocarbon	Xylene		Xylene	4	2	1	0	0	1	gold.ecosystem:5086|gold.ecosystem:5087
Engineered > Built environment > Building > Sink	Engineered	Built environment	Building	Sink		Sink	4	2	1	0	0	1	gold.ecosystem:8365|gold.ecosystem:8366
Engineered > Built environment > Drinking water treatment plant	Engineered	Built environment	Drinking water treatment plant			Drinking water treatment plant	3	3	1	0	0	1	gold.ecosystem:5491|gold.ecosystem:8451|gold.ecosystem:8452
Engineered > Built environment > Drinking water treatment plant > Drinking water filter	Engineered	Built environment	Drinking water treatment plant	Drinking water filter		Drinking water filter	4	2	1	0	0	1	gold.ecosystem:5492|gold.ecosystem:5493
Engineered > Built environment > Hospital > ICU > Floor	Engineered	Built environment	Hospital	ICU	Floor	Floor	5	1	1	0	0	1	gold.ecosystem:5574
Engineered > Built environment > Mine	Engineered	Built environment	Mine			Mine	3	3	1	0	0	1	gold.ecosystem:5839|gold.ecosystem:8284|gold.ecosystem:8285
Engineered > Built environment > Monument > Stone > Sandstone	Engineered	Built environment	Monument	Stone	Sandstone	Sandstone	5	1	1	0	0	1	gold.ecosystem:7127
Engineered > Built environment > Oil refinery > Petroleum sludge	Engineered	Built environment	Oil refinery	Petroleum sludge		Petroleum sludge	4	2	1	0	0	1	gold.ecosystem:4518|gold.ecosystem:4519
Engineered > Built environment > Pipeline > Oil/Gas pipeline	Engineered	Built environment	Pipeline	Oil/Gas pipeline		Oil/Gas pipeline	4	2	1	0	0	1	gold.ecosystem:8072|gold.ecosystem:8073
Engineered > Food production > Equipment/Utensils	Engineered	Food production	Equipment/Utensils			Equipment/Utensils	3	3	1	0	0	1	gold.ecosystem:8314|gold.ecosystem:8315|gold.ecosystem:8316
Engineered > Food production > Fish products > Cold smoked fish	Engineered	Food production	Fish products	Cold smoked fish		Cold smoked fish	4	2	1	0	0	1	gold.ecosystem:6975|gold.ecosystem:6976
