canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Host-associated > Mammals: Human	Host-associated	Mammals: Human				Mammals: Human	2	4	40432	0	0	40432	gold.ecosystem:3381|gold.ecosystem:3593|gold.ecosystem:3699|gold.ecosystem:4138
Environmental > Terrestrial > Soil	Environmental	Terrestrial	Soil			Soil	3	3	26399	0	0	26399	gold.ecosystem:3496|gold.ecosystem:3810|gold.ecosystem:4212
Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal	Host-associated	Mammals: Human	Digestive system	Large intestine	Fecal	Fecal	5	1	13744	0	0	13744	gold.ecosystem:3920
Host-associated > Plants	Host-associated	Plants				Plants	2	4	12638	0	0	12638	gold.ecosystem:3385|gold.ecosystem:3605|gold.ecosystem:3723|gold.ecosystem:3938
Environmental > Terrestrial	Environmental	Terrestrial				Terrestrial	2	4	9030	0	0	9030	gold.ecosystem:2882|gold.ecosystem:3493|gold.ecosystem:3805|gold.ecosystem:4198
Host-associated > Mammals: Human > Circulatory system > Blood	Host-associated	Mammals: Human	Circulatory system	Blood		Blood	4	2	7375	0	0	7375	gold.ecosystem:3693|gold.ecosystem:3932
Environmental > Aquatic > Marine	Environmental	Aquatic	Marine			Marine	3	3	6420	0	0	6420	gold.ecosystem:3487|gold.ecosystem:3768|gold.ecosystem:4003
Host-associated > Mammals	Host-associated	Mammals				Mammals	2	4	6104	0	0	6104	gold.ecosystem:3379|gold.ecosystem:3579|gold.ecosystem:3669|gold.ecosystem:4118
Host-associated > Mammals: Human > Respiratory system > Pharynx/Throat > Nasopharynx	Host-associated	Mammals: Human	Respiratory system	Pharynx/Throat	Nasopharynx	Nasopharynx	5	1	5080	0	0	5080	gold.ecosystem:6103
Environmental > Terrestrial > Soil > Garden	Environmental	Terrestrial	Soil	Garden		Garden	4	2	5014	0	0	5014	gold.ecosystem:5773|gold.ecosystem:5774
Host-associated > Mammals > Digestive system > Foregut > Rumen	Host-associated	Mammals	Digestive system	Foregut	Rumen	Rumen	5	1	4989	0	0	4989	gold.ecosystem:7512
Host-associated > Mammals: Human > Respiratory system > Sputum/Phlegm	Host-associated	Mammals: Human	Respiratory system	Sputum/Phlegm		Sputum/Phlegm	4	2	4968	0	0	4968	gold.ecosystem:5008|gold.ecosystem:5009
Environmental > Aquatic > Marine > Pelagic zone	Environmental	Aquatic	Marine	Pelagic zone		Pelagic zone	4	2	4877	0	0	4877	gold.ecosystem:3771|gold.ecosystem:4021
Host-associated > Mammals > Digestive system > Large intestine > Fecal	Host-associated	Mammals	Digestive system	Large intestine	Fecal	Fecal	5	1	4785	0	0	4785	gold.ecosystem:4104
Engineered > Food production	Engineered	Food production				Food production	2	4	4402	0	0	4402	gold.ecosystem:2885|gold.ecosystem:3502|gold.ecosystem:3823|gold.ecosystem:4250
Environmental > Aquatic	Environmental	Aquatic				Aquatic	2	4	4203	0	0	4203	gold.ecosystem:2881|gold.ecosystem:3483|gold.ecosystem:3757|gold.ecosystem:3984
Host-associated	Host-associated					Host-associated	1	5	3307	0	0	3307	gold.ecosystem:3373|gold.ecosystem:3562|gold.ecosystem:3641|gold.ecosystem:4|gold.ecosystem:4086
Host-associated > Microbial > Bacteria	Host-associated	Microbial	Bacteria			Bacteria	3	3	3017	0	0	3017	gold.ecosystem:3540|gold.ecosystem:3880|gold.ecosystem:4318
Host-associated > Plants > Roots	Host-associated	Plants	Roots			Roots	3	3	2809	0	0	2809	gold.ecosystem:4464|gold.ecosystem:4465|gold.ecosystem:4466
Host-associated > Mammals: Human > Respiratory system	Host-associated	Mammals: Human	Respiratory system			Respiratory system	3	3	2496	0	0	2496	gold.ecosystem:3592|gold.ecosystem:3698|gold.ecosystem:4137
Host-associated > Mammals: Human > Urinary system > Urine	Host-associated	Mammals: Human	Urinary system	Urine		Urine	4	2	2290	0	0	2290	gold.ecosystem:6123|gold.ecosystem:6124
Environmental > Aquatic > Freshwater	Environmental	Aquatic	Freshwater			Freshwater	3	3	2055	0	0	2055	gold.ecosystem:3488|gold.ecosystem:3786|gold.ecosystem:4159
Engineered > Food production > Meat products	Engineered	Food production	Meat products			Meat products	3	3	1916	0	0	1916	gold.ecosystem:4486|gold.ecosystem:4487|gold.ecosystem:4488
Host-associated > Birds	Host-associated	Birds				Birds	2	4	1848	0	0	1848	gold.ecosystem:3382|gold.ecosystem:3599|gold.ecosystem:3714|gold.ecosystem:4154
Host-associated > Arthropoda: Insects	Host-associated	Arthropoda: Insects				Arthropoda: Insects	2	4	1833	0	0	1833	gold.ecosystem:7073|gold.ecosystem:7181|gold.ecosystem:7182|gold.ecosystem:7183
Environmental > Aquatic > Marine > Coastal	Environmental	Aquatic	Marine	Coastal		Coastal	4	2	1718	0	0	1718	gold.ecosystem:3780|gold.ecosystem:4044
Engineered > Laboratory developed > Genetically modified	Engineered	Laboratory developed	Genetically modified			Genetically modified	3	3	1704	0	0	1704	gold.ecosystem:4386|gold.ecosystem:4725|gold.ecosystem:4726
Host-associated > Plants > Phyllosphere > Phylloplane/Leaf	Host-associated	Plants	Phyllosphere	Phylloplane/Leaf		Phylloplane/Leaf	4	2	1448	0	0	1448	gold.ecosystem:5267|gold.ecosystem:5269
Host-associated > Mammals: Human > Digestive system	Host-associated	Mammals: Human	Digestive system			Digestive system	3	3	1443	0	0	1443	gold.ecosystem:3587|gold.ecosystem:3682|gold.ecosystem:3919
Host-associated > Plants > Roots > Nodule	Host-associated	Plants	Roots	Nodule		Nodule	4	2	1422	0	0	1422	gold.ecosystem:4522|gold.ecosystem:4523
Environmental > Aquatic > Marine > Oceanic	Environmental	Aquatic	Marine	Oceanic		Oceanic	4	2	1395	0	0	1395	gold.ecosystem:3769|gold.ecosystem:4008
Host-associated > Fish	Host-associated	Fish				Fish	2	4	1350	0	0	1350	gold.ecosystem:3375|gold.ecosystem:3569|gold.ecosystem:3651|gold.ecosystem:4095
Engineered > Food production > Dairy products	Engineered	Food production	Dairy products			Dairy products	3	3	1319	0	0	1319	gold.ecosystem:3505|gold.ecosystem:3826|gold.ecosystem:4253
Environmental	Environmental					Environmental	1	5	1285	0	0	1285	gold.ecosystem:2880|gold.ecosystem:3|gold.ecosystem:3480|gold.ecosystem:3749|gold.ecosystem:3964
Environmental > Terrestrial > Deep subsurface > Rock core/Sediment	Environmental	Terrestrial	Deep subsurface	Rock core/Sediment		Rock core/Sediment	4	2	1245	0	0	1245	gold.ecosystem:7699|gold.ecosystem:7700
Host-associated > Birds > Digestive system > Large intestine > Fecal	Host-associated	Birds	Digestive system	Large intestine	Fecal	Fecal	5	1	1229	0	0	1229	gold.ecosystem:4957
Engineered > Wastewater	Engineered	Wastewater				Wastewater	2	4	1140	0	0	1140	gold.ecosystem:2886|gold.ecosystem:3508|gold.ecosystem:3833|gold.ecosystem:4264
Environmental > Aquatic > Marine > Sediment	Environmental	Aquatic	Marine	Sediment		Sediment	4	2	1035	0	0	1035	gold.ecosystem:4563|gold.ecosystem:4564
Host-associated > Mammals: Human > Digestive system > Oral cavity	Host-associated	Mammals: Human	Digestive system	Oral cavity		Oral cavity	4	2	1032	0	0	1032	gold.ecosystem:3681|gold.ecosystem:3912
Host-associated > Plants > Roots > Rhizosphere	Host-associated	Plants	Roots	Rhizosphere		Rhizosphere	4	2	1008	0	0	1008	gold.ecosystem:5300|gold.ecosystem:5301
Environmental > Aquatic > Freshwater > Lake	Environmental	Aquatic	Freshwater	Lake		Lake	4	2	1002	0	0	1002	gold.ecosystem:3792|gold.ecosystem:4179
Engineered > Built environment > International Space Station	Engineered	Built environment	International Space Station			International Space Station	3	3	937	0	0	937	gold.ecosystem:4657|gold.ecosystem:4658|gold.ecosystem:4659
Environmental > Aquatic > Marine > Oceanic > Sediment	Environmental	Aquatic	Marine	Oceanic	Sediment	Sediment	5	1	929	0	0	929	gold.ecosystem:4009
Host-associated > Mammals: Human > Digestive system > Stomach	Host-associated	Mammals: Human	Digestive system	Stomach		Stomach	4	2	886	0	0	886	gold.ecosystem:5078|gold.ecosystem:5080
Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface	Host-associated	Plants	Phyllosphere	Phylloplane/Leaf surface		Phylloplane/Leaf surface	4	2	843	0	0	843	gold.ecosystem:5260|gold.ecosystem:5263
Engineered > Wastewater > Activated Sludge	Engineered	Wastewater	Activated Sludge			Activated Sludge	3	3	789	0	0	789	gold.ecosystem:3506|gold.ecosystem:3827|gold.ecosystem:4254
Host-associated > Mollusca	Host-associated	Mollusca				Mollusca	2	4	784	0	0	784	gold.ecosystem:3368|gold.ecosystem:3544|gold.ecosystem:3886|gold.ecosystem:4324
Host-associated > Mammals: Human > Integumentary system > Skin	Host-associated	Mammals: Human	Integumentary system	Skin		Skin	4	2	754	0	0	754	gold.ecosystem:6114|gold.ecosystem:6116
Environmental > Aquatic > Thermal springs	Environmental	Aquatic	Thermal springs			Thermal springs	3	3	744	0	0	744	gold.ecosystem:3485|gold.ecosystem:3761|gold.ecosystem:3991
Host-associated > Arthropoda: Insects > Digestive system > Gut	Host-associated	Arthropoda: Insects	Digestive system	Gut		Gut	4	2	742	0	0	742	gold.ecosystem:7156|gold.ecosystem:7157
Environmental > Aquatic > Freshwater > Pond	Environmental	Aquatic	Freshwater	Pond		Pond	4	2	729	0	0	729	gold.ecosystem:3793|gold.ecosystem:4380
Environmental > Terrestrial > Soil > Greenhouse	Environmental	Terrestrial	Soil	Greenhouse		Greenhouse	4	2	698	0	0	698	gold.ecosystem:5769|gold.ecosystem:5777
Host-associated > Mammals > Digestive system	Host-associated	Mammals	Digestive system			Digestive system	3	3	681	0	0	681	gold.ecosystem:3575|gold.ecosystem:3661|gold.ecosystem:4107
Host-associated > Mammals > Integumentary system > Mammary gland > Milk	Host-associated	Mammals	Integumentary system	Mammary gland	Milk	Milk	5	1	650	0	0	650	gold.ecosystem:6365
Engineered > Food production > Fermented beverages	Engineered	Food production	Fermented beverages			Fermented beverages	3	3	645	0	0	645	gold.ecosystem:3504|gold.ecosystem:3825|gold.ecosystem:4252
Host-associated > Fungi	Host-associated	Fungi				Fungi	2	4	635	0	0	635	gold.ecosystem:3376|gold.ecosystem:3572|gold.ecosystem:3654|gold.ecosystem:4098
Host-associated > Invertebrates	Host-associated	Invertebrates				Invertebrates	2	4	621	0	0	621	gold.ecosystem:3374|gold.ecosystem:4752|gold.ecosystem:4753|gold.ecosystem:4754
Host-associated > Plants > Roots > Rhizosphere > Soil	Host-associated	Plants	Roots	Rhizosphere	Soil	Soil	5	1	614	0	0	614	gold.ecosystem:5302
Engineered > Bioreactor	Engineered	Bioreactor				Bioreactor	2	4	604	0	0	604	gold.ecosystem:2889|gold.ecosystem:3516|gold.ecosystem:3848|gold.ecosystem:4280
Host-associated > Mammals: Human > Digestive system > Large intestine > Rectum	Host-associated	Mammals: Human	Digestive system	Large intestine	Rectum	Rectum	5	1	602	0	0	602	gold.ecosystem:5030
Host-associated > Arthropoda: Crustaceans	Host-associated	Arthropoda: Crustaceans				Arthropoda: Crustaceans	2	4	598	0	0	598	gold.ecosystem:7210|gold.ecosystem:7211|gold.ecosystem:7212|gold.ecosystem:7213
Engineered > Food production > Dairy products > Fermented dairy products > Cheese	Engineered	Food production	Dairy products	Fermented dairy products	Cheese	Cheese	5	1	582	0	0	582	gold.ecosystem:5509
Environmental > Aquatic > Marine > Hydrothermal vents	Environmental	Aquatic	Marine	Hydrothermal vents		Hydrothermal vents	4	2	581	0	0	581	gold.ecosystem:3776|gold.ecosystem:4027
Host-associated > Arthropoda: Myriapoda	Host-associated	Arthropoda: Myriapoda				Arthropoda: Myriapoda	2	4	569	0	0	569	gold.ecosystem:3369|gold.ecosystem:3549|gold.ecosystem:3632|gold.ecosystem:3901
Host-associated > Plants > Seeds	Host-associated	Plants	Seeds			Seeds	3	3	569	0	0	569	gold.ecosystem:4570|gold.ecosystem:4571|gold.ecosystem:4572
Engineered > Built environment > Hospital	Engineered	Built environment	Hospital			Hospital	3	3	551	0	0	551	gold.ecosystem:4492|gold.ecosystem:4493|gold.ecosystem:4494
Engineered > Lab synthesis	Engineered	Lab synthesis				Lab synthesis	2	4	549	0	0	549	gold.ecosystem:2883|gold.ecosystem:3498|gold.ecosystem:3820|gold.ecosystem:4247
Environmental > Aquatic > Freshwater > River	Environmental	Aquatic	Freshwater	River		River	4	2	521	0	0	521	gold.ecosystem:4511|gold.ecosystem:4512
Environmental > Aquatic > Thermal springs > Hot (42-90C)	Environmental	Aquatic	Thermal springs	Hot (42-90C)		Hot (42-90C)	4	2	518	0	0	518	gold.ecosystem:3764|gold.ecosystem:3992
Host-associated > Mammals: Human > Reproductive system > Vagina	Host-associated	Mammals: Human	Reproductive system	Vagina		Vagina	4	2	475	0	0	475	gold.ecosystem:3700|gold.ecosystem:4140
Engineered > Wastewater > Sewage	Engineered	Wastewater	Sewage			Sewage	3	3	467	0	0	467	gold.ecosystem:4660|gold.ecosystem:4661|gold.ecosystem:4662
Host-associated > Microbial	Host-associated	Microbial				Microbial	2	4	465	0	0	465	gold.ecosystem:3366|gold.ecosystem:3539|gold.ecosystem:3879|gold.ecosystem:4317
Host-associated > Mammals > Digestive system > Stomach > Rumen	Host-associated	Mammals	Digestive system	Stomach	Rumen	Rumen	5	1	450	0	0	450	gold.ecosystem:4111
Environmental > Terrestrial > Soil > Forest	Environmental	Terrestrial	Soil	Forest		Forest	4	2	433	0	0	433	gold.ecosystem:5864|gold.ecosystem:7290
Host-associated > Birds > Digestive system > Large intestine > Ceca	Host-associated	Birds	Digestive system	Large intestine	Ceca	Ceca	5	1	407	0	0	407	gold.ecosystem:6885
Host-associated > Mammals > Integumentary system > Mammary gland	Host-associated	Mammals	Integumentary system	Mammary gland		Mammary gland	4	2	400	0	0	400	gold.ecosystem:6363|gold.ecosystem:6364
Environmental > Air	Environmental	Air				Air	2	4	397	0	0	397	gold.ecosystem:2879|gold.ecosystem:3479|gold.ecosystem:3748|gold.ecosystem:3963
Host-associated > Algae	Host-associated	Algae				Algae	2	4	394	0	0	394	gold.ecosystem:3387|gold.ecosystem:3618|gold.ecosystem:3742|gold.ecosystem:3957
Environmental > Aquatic > Freshwater > Lentic	Environmental	Aquatic	Freshwater	Lentic		Lentic	4	2	388	0	0	388	gold.ecosystem:3791|gold.ecosystem:4174
Host-associated > Invertebrates > Cnidaria > Coral	Host-associated	Invertebrates	Cnidaria	Coral		Coral	4	2	382	0	0	382	gold.ecosystem:3643|gold.ecosystem:4088
Engineered > Food production > Bread production	Engineered	Food production	Bread production			Bread production	3	3	380	0	0	380	gold.ecosystem:5282|gold.ecosystem:5283|gold.ecosystem:5284
Host-associated > Plants > Nodule	Host-associated	Plants	Nodule			Nodule	3	3	369	0	0	369	gold.ecosystem:4448|gold.ecosystem:4449|gold.ecosystem:4450
Environmental > Terrestrial > Soil > Unclassified > Agricultural land	Environmental	Terrestrial	Soil		Agricultural land	Agricultural land	5	1	364	0	0	364	gold.ecosystem:4213
Host-associated > Mammals: Human > Respiratory system > Pharynx/Throat	Host-associated	Mammals: Human	Respiratory system	Pharynx/Throat		Pharynx/Throat	4	2	334	0	0	334	gold.ecosystem:5006|gold.ecosystem:5007
Environmental > Aquatic > Freshwater > Groundwater	Environmental	Aquatic	Freshwater	Groundwater		Groundwater	4	2	328	0	0	328	gold.ecosystem:3788|gold.ecosystem:4165
Environmental > Aquatic > Marine > Inlet	Environmental	Aquatic	Marine	Inlet		Inlet	4	2	326	0	0	326	gold.ecosystem:4573|gold.ecosystem:4574
Host-associated > Mammals > Respiratory system > Lung	Host-associated	Mammals	Respiratory system	Lung		Lung	4	2	326	0	0	326	gold.ecosystem:4443|gold.ecosystem:4444
Host-associated > Mammals > Lymphatic system > Tonsils	Host-associated	Mammals	Lymphatic system	Tonsils		Tonsils	4	2	324	0	0	324	gold.ecosystem:6446|gold.ecosystem:6447
Host-associated > Porifera > Sponge	Host-associated	Porifera	Sponge			Sponge	3	3	323	0	0	323	gold.ecosystem:4437|gold.ecosystem:4438|gold.ecosystem:4439
Host-associated > Birds > Digestive system > Ceca	Host-associated	Birds	Digestive system	Ceca		Ceca	4	2	315	0	0	315	gold.ecosystem:6989|gold.ecosystem:6990
Host-associated > Birds > Digestive system > Large intestine > Cloaca	Host-associated	Birds	Digestive system	Large intestine	Cloaca	Cloaca	5	1	309	0	0	309	gold.ecosystem:6895
Host-associated > Invertebrates > Nematoda	Host-associated	Invertebrates	Nematoda			Nematoda	3	3	300	0	0	300	gold.ecosystem:4382|gold.ecosystem:4424|gold.ecosystem:4425
Environmental > Terrestrial > Soil > Sand	Environmental	Terrestrial	Soil	Sand		Sand	4	2	299	0	0	299	gold.ecosystem:3811|gold.ecosystem:4203
Environmental > Aquatic > Marine > Coastal > Sediment	Environmental	Aquatic	Marine	Coastal	Sediment	Sediment	5	1	295	0	0	295	gold.ecosystem:4045
Host-associated > Mammals: Human > Urinary system > Urethra	Host-associated	Mammals: Human	Urinary system	Urethra		Urethra	4	2	295	0	0	295	gold.ecosystem:6265|gold.ecosystem:6266
Environmental > Aquatic > Freshwater > Lake > Sediment	Environmental	Aquatic	Freshwater	Lake	Sediment	Sediment	5	1	294	0	0	294	gold.ecosystem:4426
Engineered > Built environment	Engineered	Built environment				Built environment	2	4	282	0	0	282	gold.ecosystem:2888|gold.ecosystem:3515|gold.ecosystem:3847|gold.ecosystem:4279
Engineered > Lab culture > Culture media	Engineered	Lab culture	Culture media			Culture media	3	3	273	0	0	273	gold.ecosystem:5974|gold.ecosystem:7098|gold.ecosystem:7099
Engineered > Solid waste > Composting	Engineered	Solid waste	Composting			Composting	3	3	270	0	0	270	gold.ecosystem:3511|gold.ecosystem:3842|gold.ecosystem:4273
Host-associated > Mammals > Digestive system > Oral cavity	Host-associated	Mammals	Digestive system	Oral cavity		Oral cavity	4	2	270	0	0	270	gold.ecosystem:3663|gold.ecosystem:4109
Environmental > Aquatic > Marine > Intertidal zone > Sediment	Environmental	Aquatic	Marine	Intertidal zone	Sediment	Sediment	5	1	263	0	0	263	gold.ecosystem:4016
Engineered > Artificial ecosystem	Engineered	Artificial ecosystem				Artificial ecosystem	2	4	261	0	0	261	gold.ecosystem:4842|gold.ecosystem:8043|gold.ecosystem:8044|gold.ecosystem:8045
Host-associated > Fungi > Mycelium	Host-associated	Fungi	Mycelium			Mycelium	3	3	260	0	0	260	gold.ecosystem:4461|gold.ecosystem:4462|gold.ecosystem:4463
Host-associated > Mammals: Human > Respiratory system > Lung	Host-associated	Mammals: Human	Respiratory system	Lung		Lung	4	2	258	0	0	258	gold.ecosystem:5003|gold.ecosystem:5004
Engineered > Wastewater > Industrial wastewater	Engineered	Wastewater	Industrial wastewater			Industrial wastewater	3	3	252	0	0	252	gold.ecosystem:3509|gold.ecosystem:3836|gold.ecosystem:4267
Host-associated > Mammals: Human > Digestive system > Stomach > Gastric mucosa	Host-associated	Mammals: Human	Digestive system	Stomach	Gastric mucosa	Gastric mucosa	5	1	251	0	0	251	gold.ecosystem:5079
Host-associated > Mammals: Human > Respiratory system > Nasal cavity	Host-associated	Mammals: Human	Respiratory system	Nasal cavity		Nasal cavity	4	2	251	0	0	251	gold.ecosystem:6090|gold.ecosystem:6187
Environmental > Aquatic > Deep subsurface > Groundwater	Environmental	Aquatic	Deep subsurface	Groundwater		Groundwater	4	2	249	0	0	249	gold.ecosystem:5953|gold.ecosystem:5954
Host-associated > Arthropoda: Chelicerates > Whole body	Host-associated	Arthropoda: Chelicerates	Whole body			Whole body	3	3	244	0	0	244	gold.ecosystem:7151|gold.ecosystem:7152|gold.ecosystem:7153
Host-associated > Mammals > Digestive system > Large intestine > Rectum	Host-associated	Mammals	Digestive system	Large intestine	Rectum	Rectum	5	1	239	0	0	239	gold.ecosystem:6379
Host-associated > Algae > Brown Algae	Host-associated	Algae	Brown Algae			Brown Algae	3	3	231	0	0	231	gold.ecosystem:3620|gold.ecosystem:3745|gold.ecosystem:3960
Environmental > Terrestrial > Agricultural field	Environmental	Terrestrial	Agricultural field			Agricultural field	3	3	226	0	0	226	gold.ecosystem:3494|gold.ecosystem:3806|gold.ecosystem:4199
Engineered > Food production > Fermented food	Engineered	Food production	Fermented food			Fermented food	3	3	221	0	0	221	gold.ecosystem:5597|gold.ecosystem:5743|gold.ecosystem:5744
Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline		Hypersaline	4	2	219	0	0	219	gold.ecosystem:3754|gold.ecosystem:3978
Environmental > Aquatic > Marine > Intertidal zone > Tidal flats	Environmental	Aquatic	Marine	Intertidal zone	Tidal flats	Tidal flats	5	1	218	0	0	218	gold.ecosystem:6937
Environmental > Terrestrial > Geologic > Mine	Environmental	Terrestrial	Geologic	Mine		Mine	4	2	218	0	0	218	gold.ecosystem:3800|gold.ecosystem:4193
Host-associated > Algae > Diatoms	Host-associated	Algae	Diatoms			Diatoms	3	3	218	0	0	218	gold.ecosystem:4673|gold.ecosystem:4674|gold.ecosystem:4675
Engineered > Food production > Fermented vegetables	Engineered	Food production	Fermented vegetables			Fermented vegetables	3	3	216	0	0	216	gold.ecosystem:3501|gold.ecosystem:3822|gold.ecosystem:4249
Host-associated > Mammals: Human > Respiratory system > Trachea	Host-associated	Mammals: Human	Respiratory system	Trachea		Trachea	4	2	213	0	0	213	gold.ecosystem:5020|gold.ecosystem:5021
Host-associated > Plants > Phyllosphere > Stem	Host-associated	Plants	Phyllosphere	Stem		Stem	4	2	206	0	0	206	gold.ecosystem:7109|gold.ecosystem:7110
Engineered > Built environment > Water treatment plant > Wastewater	Engineered	Built environment	Water treatment plant	Wastewater		Wastewater	4	2	205	0	0	205	gold.ecosystem:5526|gold.ecosystem:5527
Host-associated > Arthropoda: Insects > Digestive system	Host-associated	Arthropoda: Insects	Digestive system			Digestive system	3	3	203	0	0	203	gold.ecosystem:7136|gold.ecosystem:7178|gold.ecosystem:7179
Environmental > Aquatic > Freshwater > Drinking water	Environmental	Aquatic	Freshwater	Drinking water		Drinking water	4	2	201	0	0	201	gold.ecosystem:3784|gold.ecosystem:4057
Host-associated > Mammals > Unspecified system > Unspecified organ > Unspecified tissue	Host-associated	Mammals	Unspecified system	Unspecified organ	Unspecified tissue	Unspecified tissue	5	1	201	0	0	201	gold.ecosystem:6450
Engineered > Built environment > Spacecraft Assembly Cleanrooms	Engineered	Built environment	Spacecraft Assembly Cleanrooms			Spacecraft Assembly Cleanrooms	3	3	196	0	0	196	gold.ecosystem:4633|gold.ecosystem:4634|gold.ecosystem:4635
Host-associated > Mammals > Respiratory system > Pharynx/Throat > Nasopharynx	Host-associated	Mammals	Respiratory system	Pharynx/Throat	Nasopharynx	Nasopharynx	5	1	194	0	0	194	gold.ecosystem:6369
Environmental > Aquatic > Freshwater > Sediment	Environmental	Aquatic	Freshwater	Sediment		Sediment	4	2	190	0	0	190	gold.ecosystem:3789|gold.ecosystem:4171
Engineered > Food production > Meat products > Raw meat	Engineered	Food production	Meat products	Raw meat		Raw meat	4	2	189	0	0	189	gold.ecosystem:6424|gold.ecosystem:6463
Host-associated > Birds > Digestive system	Host-associated	Birds	Digestive system			Digestive system	3	3	186	0	0	186	gold.ecosystem:3597|gold.ecosystem:3710|gold.ecosystem:4150
Host-associated > Mammals > Respiratory system > Nasal cavity	Host-associated	Mammals	Respiratory system	Nasal cavity		Nasal cavity	4	2	184	0	0	184	gold.ecosystem:6032|gold.ecosystem:6033
Environmental > Aquatic > Freshwater > Ice > Glacier	Environmental	Aquatic	Freshwater	Ice	Glacier	Glacier	5	1	179	0	0	179	gold.ecosystem:4063
Engineered > Food production > Dairy products > Fermented dairy products	Engineered	Food production	Dairy products	Fermented dairy products		Fermented dairy products	4	2	178	0	0	178	gold.ecosystem:5455|gold.ecosystem:5456
Host-associated > Mammals: Human > Nervous system > Subarachnoid space > Cerebrospinal fluid	Host-associated	Mammals: Human	Nervous system	Subarachnoid space	Cerebrospinal fluid	Cerebrospinal fluid	5	1	174	0	0	174	gold.ecosystem:6128
Environmental > Aquatic > Freshwater > Groundwater > Spring	Environmental	Aquatic	Freshwater	Groundwater	Spring	Spring	5	1	173	0	0	173	gold.ecosystem:4654
Host-associated > Arthropoda: Chelicerates	Host-associated	Arthropoda: Chelicerates				Arthropoda: Chelicerates	2	4	169	0	0	169	gold.ecosystem:7150|gold.ecosystem:7190|gold.ecosystem:7191|gold.ecosystem:7192
Host-associated > Mammals: Human > Nervous system > Brain	Host-associated	Mammals: Human	Nervous system	Brain		Brain	4	2	167	0	0	167	gold.ecosystem:4495|gold.ecosystem:4496
Host-associated > Mammals > Digestive system > Large intestine > Cecum	Host-associated	Mammals	Digestive system	Large intestine	Cecum	Cecum	5	1	164	0	0	164	gold.ecosystem:4105
Environmental > Terrestrial > Geologic	Environmental	Terrestrial	Geologic			Geologic	3	3	162	0	0	162	gold.ecosystem:3489|gold.ecosystem:3799|gold.ecosystem:4192
Environmental > Aquatic > Freshwater > River > Sediment	Environmental	Aquatic	Freshwater	River	Sediment	Sediment	5	1	160	0	0	160	gold.ecosystem:5109
Host-associated > Mammals > Circulatory system > Blood	Host-associated	Mammals	Circulatory system	Blood		Blood	4	2	160	0	0	160	gold.ecosystem:3665|gold.ecosystem:4114
Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Sediment	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Sediment	Sediment	5	1	159	0	0	159	gold.ecosystem:3980
Environmental > Terrestrial > Soil > Tree plantation	Environmental	Terrestrial	Soil	Tree plantation		Tree plantation	4	2	159	0	0	159	gold.ecosystem:7705|gold.ecosystem:7706
Host-associated > Mammals: Human > Digestive system > Pharynx/Throat > Oropharynx	Host-associated	Mammals: Human	Digestive system	Pharynx/Throat	Oropharynx	Oropharynx	5	1	159	0	0	159	gold.ecosystem:6100
Environmental > Aquatic > Marine > Intertidal zone > Solar salterns	Environmental	Aquatic	Marine	Intertidal zone	Solar salterns	Solar salterns	5	1	157	0	0	157	gold.ecosystem:8054
Host-associated > Plants > Wood	Host-associated	Plants	Wood			Wood	3	3	153	0	0	153	gold.ecosystem:4558|gold.ecosystem:4559|gold.ecosystem:4560
Engineered > Food production > Meat products > Beef	Engineered	Food production	Meat products	Beef		Beef	4	2	152	0	0	152	gold.ecosystem:5468|gold.ecosystem:5469
Environmental > Aquatic > Marine > Epipelagic	Environmental	Aquatic	Marine	Epipelagic		Epipelagic	4	2	151	0	0	151	gold.ecosystem:5330|gold.ecosystem:5331
Host-associated > Mammals > Respiratory system	Host-associated	Mammals	Respiratory system			Respiratory system	3	3	151	0	0	151	gold.ecosystem:3581|gold.ecosystem:3672|gold.ecosystem:4122
Environmental > Aquatic > Non-marine Saline and Alkaline > Saline	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline		Saline	4	2	150	0	0	150	gold.ecosystem:3753|gold.ecosystem:3973
Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	Sediment	5	1	150	0	0	150	gold.ecosystem:3997
Host-associated > Annelida	Host-associated	Annelida				Annelida	2	4	150	0	0	150	gold.ecosystem:3370|gold.ecosystem:3554|gold.ecosystem:3891|gold.ecosystem:4331
Host-associated > Plants > Phyllosphere	Host-associated	Plants	Phyllosphere			Phyllosphere	3	3	149	0	0	149	gold.ecosystem:4458|gold.ecosystem:4459|gold.ecosystem:4460
Host-associated > Plants > Roots > Rhizoplane > Endophytes	Host-associated	Plants	Roots	Rhizoplane	Endophytes	Endophytes	5	1	148	0	0	148	gold.ecosystem:5449
