identifier	label	assertions	sources	why_blocked
habitatmech:BACDIVE.0f1e92a02c	environmental	18454	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.7d4708950e	engineered	7174	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.6add57f329	fluids	6001	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.3d543e6b49	host animal endotherm	5130	MADIN	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.029baaef9e	bacteria	3017	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.3974b3f169	oral cavity and airways	2102	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.a60a058479	industrial	1758	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.c3fa7fc4c2	environmental	1285	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.b415adf879	food production	1197	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.36df85e4a4	waste	1140	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.e68bf42dcb	host animal ectotherm	999	MADIN	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.5d6bbfabf0	decomposing plant	625	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.b3b3dfff91	sandy	607	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.e864a16f03	invertebrates other	596	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.9c253e43c0	engineered product	526	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.0c0740efd8	contamination	474	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.bf10ea3ae4	geologic	381	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.319ac5f8f8	host animal endotherm intratissue	341	MADIN	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.2b1959f1f0	food fermented	173	MADIN	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.ed51f3e74a	host animal endotherm rumen	132	MADIN	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.745e245512	rodentia other	97	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.3d4fdc29fb	biopsy	95	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.5caa9dd47f	lesion	81	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.38260eea00	aquatic plant	66	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.398aeb6c37	dust	65	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.3bf519722c	core sample	60	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.5bac6e6496	root tooth	28	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.71d5f01e03	cooling tower	26	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.be021eb56c	lesion	23	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.4b8650dee7	dust ash	20	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.3eec8fcfc4	waste gas	20	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.9eabedc3a1	starter culture	19	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.f4971616a5	gall	16	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.3153798c1a	sourdough	15	GOLD	parent FOODON:03530206 is outside ENVO; ENVO does not import terms from ontologies it interoperates with, so this belongs to that ontology's tracker instead
habitatmech:GOLD.e97d0cb4b1	gingival crevice/sulcus	15	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:PREGO.c312b0d6fc	tubercle	11	PREGO	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.1a78606807	persistent organic pollutants (POP)	9	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.31392c69b9	spot Leaf,Stem	5	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.bb0eb00ccb	dissolved organics (anaerobic)	3	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:BACDIVE.04ddbbeabe	rot Root,Stem	2	BACDIVE	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.74bb711f82	Oil/Gas pipeline	1	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.bed15b95b1	surface	1	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.20fb5b0162	rock core/Sediment	1	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.ebf95a8a4a	air scrubber	0	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.7f436f8aff	biofilm	0	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.b4e93f5d66	indoor	0	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.7dd45e072b	material	0	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.8c6192908f	stone	0	GOLD	no ontology parent on the record, so there is no genus to write a definition from
habitatmech:GOLD.c25f588dad	Grains/Grain products	0	GOLD	parent FOODON:03530206 is outside ENVO; ENVO does not import terms from ontologies it interoperates with, so this belongs to that ontology's tracker instead
