retired_slug	retired_identifier	retired_label	current_identifiers	resolved_by
stomach-uberon-0000945	UBERON:0000945	stomach	habitatmech:GOLD.623ff8e506	source_concepts_merged
subarctic-climatic-zone-foodon-03520502	FOODON:03520502	subarctic climatic zone	habitatmech:BACDIVE.09ded89de7	source_concepts_merged
subglacial-lake-habitatmech-gold-c5a94d7484	habitatmech:GOLD.c5a94d7484	Subglacial lake	ENVO:03000120	source_concepts_merged
subway-train-envo-03501109	ENVO:03501109	subway train	habitatmech:GOLD.961229841c	source_concepts_merged
suidae-pig-swine-habitatmech-bacdive-3a13ee8a57	habitatmech:BACDIVE.3a13ee8a57	suid-associated environment	habitatmech:BACDIVE.3a13ee8a57	label_changed
temperate-marginal-sea-biome-envo-01000856	ENVO:01000856	temperate marginal sea biome	habitatmech:GOLD.b4e93f5d66	source_concepts_merged
tower-ncit-c48957	NCIT:C48957	Tower	habitatmech:BACDIVE.71d5f01e03	source_concepts_merged
tracheal-aspirate-ncit-c171504	NCIT:C171504	Endotracheal Fluid	NCIT:C171504	label_changed
tree-habitatmech-bacdive-3192a0f47e	habitatmech:BACDIVE.3192a0f47e	tree-associated environment	habitatmech:BACDIVE.3192a0f47e	label_changed
tubercle-bto-0002173	BTO:0002173	tubercle	habitatmech:PREGO.c312b0d6fc	source_concepts_merged
tundra-habitatmech-gold-d808a23d62	habitatmech:GOLD.d808a23d62	Tundra	ENVO:00000112	source_concepts_merged
tunicates-habitatmech-gold-78c645fff9	habitatmech:GOLD.78c645fff9	tunicate-associated environment	habitatmech:GOLD.78c645fff9	label_changed
uropygial-preen-gland-habitatmech-gold-853d321f4a	habitatmech:GOLD.853d321f4a	Uropygial/Preen gland	UBERON:0007802	source_concepts_merged
venous-habitatmech-gold-12da3e7025	habitatmech:GOLD.12da3e7025	Venous	BTO:0006187	source_concepts_merged
vertebral-bone-2-uberon-0001093	UBERON:0001093	vertebral bone 2	habitatmech:GOLD.e89f860f72	source_concepts_merged
water-vapour-saturated-air-envo-01000829	ENVO:01000829	water vapour saturated air	habitatmech:GOLD.d263dfb09c	source_concepts_merged
xylem-vessels-habitatmech-gold-b7bb1e18b3	habitatmech:GOLD.b7bb1e18b3	Xylem vessels	PO:0025417	source_concepts_merged
