identifier	slug
BTO:0001202	saliva
BTO:0001203	salivary_gland
BTO:0001210	sgs_cell
BTO:0001220	schwann_cell
BTO:0001228	seedling
BTO:0001230	semen
BTO:0001243	shoot
BTO:0001244	urinary_tract
BTO:0001253	skin
BTO:0001259	small_intestine_mucosa
BTO:0001260	smooth_muscle__da2f97c9
BTO:0001268	somatic_cell
BTO:0001277	spermatozoon
BTO:0001278	spike
BTO:0001279	spinal_cord
BTO:0001281	spleen
BTO:0001287	sporangium
BTO:0001297	sputum
BTO:0001300	stem
BTO:0001301	bark
BTO:0001306	stolon
BTO:0001307	stomach
BTO:0001308	gastric_mucosa
BTO:0001313	style
BTO:0001339	synovia
BTO:0001347	tadpole
BTO:0001356	tendon
BTO:0001368	thorax
BTO:0001370	thp_1_cell
BTO:0001376	thigh
BTO:0001383	alveolar_bone
BTO:0001385	tongue
BTO:0001387	tonsil
BTO:0001388	trachea
BTO:0001395	trichome
BTO:0001400	tuber
BTO:0001412	u_937_cell
BTO:0001419	urine
BTO:0001421	uterine_cervix
BTO:0001424	uterus
BTO:0001426	urethra
BTO:0001432	vascular_tissue
BTO:0001434	vegetative_cell
BTO:0001436	mycelium
BTO:0001444	vero_cell
BTO:0001447	forearm
BTO:0001457	hip
BTO:0001458	apocrine_sweat_gland
BTO:0001468	xylem
BTO:0001470	epidermal_cell
BTO:0001472	peritoneum
BTO:0001477	photophore
BTO:0001481	plant
BTO:0001486	skeletal_system
BTO:0001487	adipose_tissue
BTO:0001493	trunk
BTO:0001501	hair
BTO:0001522	b_lymphocyte_cell_line
BTO:0001540	goblet_cell
BTO:0001551	free_living_state
BTO:0001565	ht_29_mtx_cell
BTO:0001591	pa_1_cell
BTO:0001593	osteoblast
BTO:0001600	cuticle
BTO:0001613	colorectum
BTO:0001653	lung_epithelium
BTO:0001658	aerial_part
BTO:0001659	aerial_root
BTO:0001664	hepatoblastoma_cell_line
BTO:0001684	antler
BTO:0001686	joint
BTO:0001701	carapace
BTO:0001707	coelom
BTO:0001709	colonic_epithelium
BTO:0001713	dorsum
BTO:0001719	claw
BTO:0001743	jejunal_epithelium
BTO:0001758	ocellus
BTO:0001762	neonate
BTO:0001773	oocyst
BTO:0001780	oxyntic_cell
BTO:0001782	peritoneal_cavity
BTO:0001791	pleura
BTO:0001809	scalp
BTO:0001810	sclerotium
BTO:0001816	stem_nodule
BTO:0001822	suprachiasmatic_nucleus
BTO:0001823	synovium
BTO:0001844	tooth_enamel
BTO:0001859	wart
BTO:0001886	primordium
BTO:0001906	cephalothorax
BTO:0001911	lung_adenocarcinoma_cell_line
BTO:0001938	u2_os_cell
BTO:0001947	hrt_18_cell
BTO:0001949	huvec_cell
BTO:0001957	mc3t3_e1_cell
BTO:0001965	carcass
BTO:0001980	sebaceous_gland
BTO:0002045	capillary
BTO:0002056	siphon
BTO:0002072	squamous_epithelium
BTO:0002096	nasal_cavity
BTO:0002099	middle_ear
BTO:0002100	outer_ear
BTO:0002136	nb_4_cell
BTO:0002168	juvenile
BTO:0002173	tubercle
BTO:0002196	a10_cell
BTO:0002246	globus_pallidus
BTO:0002254	vas_efferens
BTO:0002278	macrophage_cell_line
BTO:0002292	flagellum
BTO:0002305	scolex
BTO:0002323	eccrine_sweat_gland
BTO:0002330	lamina_propria
BTO:0002375	bronchiole
BTO:0002397	prostate_gland_epithelium
BTO:0002480	plume
BTO:0002489	promyelocytic_leukemia_cell_line
BTO:0002502	kinetoplastid
BTO:0002656	sickle_cell
BTO:0002670	medial_geniculate_nucleus
BTO:0002674	medial_geniculate_body
BTO:0002684	lymphoid_follicle
BTO:0002690	biofilm
BTO:0002728	bcp_1_cell
BTO:0002854	corn_silk
BTO:0002922	bronchial_epithelial_cell
BTO:0002979	secretion
BTO:0002990	gastric_ulcer
BTO:0003084	vaginal_fluid
BTO:0003091	urogenital_system
BTO:0003098	scrotum
BTO:0003108	chago_k_1_cell
BTO:0003120	atherosclerotic_plaque
BTO:0003121	villus
BTO:0003123	microvascular_endothelial_cell
BTO:0003129	human_brain_microvascular_endothelial_cell
BTO:0003132	microsporidian
BTO:0003165	cervical_adenocarcinoma_cell
BTO:0003167	143_b_cell
BTO:0003280	sessile_cell
BTO:0003292	raw_264_7_cell
BTO:0003358	groin
BTO:0003415	conjunctiva
BTO:0003434	choanomastigote
BTO:0003594	hypnozoite
BTO:0003659	secretory_cell
BTO:0003680	mo_b_cell
BTO:0003791	glandular_stomach
BTO:0003799	secretory_trichome
BTO:0003833	buccal_mucosa
BTO:0003861	inflammatory_cell
BTO:0003906	uroepithelium
BTO:0003969	hair_follicle_outer_root_sheath
BTO:0004041	abdominal_adipose_tissue
BTO:0004057	fruit_juice
BTO:0004093	endothelial_progenitor_cell
BTO:0004108	g_cell
BTO:0004165	meibomian_gland
BTO:0004212	seta
BTO:0004299	lung_epithelial_cell
BTO:0004300	mammary_epithelial_cell
BTO:0004305	hairy_root
BTO:0004404	bl_3_cell
BTO:0004493	gastric_epithelium_cell_line
BTO:0004520	regulatory_t_lymphocyte
BTO:0004525	subcutaneous_tissue
BTO:0004617	mucilage
BTO:0004628	aortic_valve
BTO:0004659	exoskeleton
BTO:0004668	hand
BTO:0004669	finger
BTO:0004687	orbit
BTO:0004822	germ_tube
